instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m250_k15_c25_s100_k14_g1,1077031.949735,48.474661,1390943.706235,225.476941,3023888.151528,79.991082
rasp_gaussian_m250_k15_c25_s100_k14_g10,1028627.634553,48.862062,1333037.714782,224.315939,2841643.928884,79.245287
rasp_gaussian_m250_k15_c25_s100_k14_g2,922535.033301,45.064171,1222804.997044,222.885593,2958418.588426,80.078157
rasp_gaussian_m250_k15_c25_s100_k14_g3,1002671.987536,48.889132,1341016.877609,221.035005,2966589.713217,76.313059
rasp_gaussian_m250_k15_c25_s100_k14_g4,1073477.966815,47.475060,1448098.528030,216.111980,3090935.573052,77.875872
rasp_gaussian_m250_k15_c25_s100_k14_g5,1022141.283452,47.774985,1393128.434412,223.983850,2922908.027575,79.767545
rasp_gaussian_m250_k15_c25_s100_k14_g6,952522.136320,49.502423,1283239.346701,225.564539,2975647.633297,76.407856
rasp_gaussian_m250_k15_c25_s100_k14_g7,989111.485662,49.201186,1290524.875819,248.858766,3145804.651564,77.577730
rasp_gaussian_m250_k15_c25_s100_k14_g8,960947.964693,47.614699,1313148.993239,215.024122,2890744.981677,80.239439
rasp_gaussian_m250_k15_c25_s100_k14_g9,1094435.345281,46.897238,1437898.119271,219.029551,3045308.859205,76.034744
rasp_gaussian_m250_k16_c25_s100_k15_g1,1008092.458312,56.631423,1325965.705209,253.115826,1365167.501603,87.734380
rasp_gaussian_m250_k16_c25_s100_k15_g10,1050365.280799,56.837068,1399193.983855,257.660359,1398040.969975,88.432582
rasp_gaussian_m250_k16_c25_s100_k15_g2,957432.504619,56.365809,1234831.916519,254.762310,1278762.741043,91.207391
rasp_gaussian_m250_k16_c25_s100_k15_g3,1122781.633533,53.503490,1459919.058282,265.559760,1425784.901112,85.318269
rasp_gaussian_m250_k16_c25_s100_k15_g4,1042129.825285,53.913126,1453607.805221,250.530453,1423851.097295,87.312384
rasp_gaussian_m250_k16_c25_s100_k15_g5,1029532.002673,55.225960,1369408.798876,292.291463,1284838.946300,89.792642
rasp_gaussian_m250_k16_c25_s100_k15_g6,1057884.358180,53.025258,1377969.910213,254.328366,1387056.125222,89.875742
rasp_gaussian_m250_k16_c25_s100_k15_g7,975043.159518,55.454300,1315647.982108,244.611530,1306284.746943,88.688285
rasp_gaussian_m250_k16_c25_s100_k15_g8,1024069.717275,55.916109,1377576.856385,256.085487,1416640.600047,91.543034
rasp_gaussian_m250_k16_c25_s100_k15_g9,961672.923068,55.319975,1314644.099849,283.603782,1295296.127731,87.499390
rasp_gaussian_m250_k17_c25_s100_k16_g1,1096230.499130,61.042947,1435972.387907,292.757295,2092481.056830,107.083477
rasp_gaussian_m250_k17_c25_s100_k16_g10,1060062.716121,66.823935,1413018.199238,287.117243,1904433.067997,108.858673
rasp_gaussian_m250_k17_c25_s100_k16_g2,1023519.686569,63.324742,1362081.949904,300.906804,1930527.207392,109.264783
rasp_gaussian_m250_k17_c25_s100_k16_g3,927284.234608,64.077269,1257525.782175,297.066092,1742232.855834,107.352879
