instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m350_k18_c25_s100_m6_g1,1366217.732252,153.037804,1814916.578126,718.448530,2852520.162290,374.621232
rasp_gaussian_m350_k18_c25_s100_m6_g10,1213743.471025,152.138657,1699453.550419,776.902272,2671936.741954,380.518340
rasp_gaussian_m350_k18_c25_s100_m6_g2,1124962.563434,155.060586,1590736.229228,733.615859,2392144.203380,381.973777
rasp_gaussian_m350_k18_c25_s100_m6_g3,1181109.655978,149.533460,1710674.876566,722.017954,2595745.259476,394.916722
rasp_gaussian_m350_k18_c25_s100_m6_g4,1291407.357065,144.541393,1740676.092676,722.780371,2716746.458294,371.343932
rasp_gaussian_m350_k18_c25_s100_m6_g5,1318023.347962,151.806372,1734986.991007,752.115721,2766180.382736,389.104151
rasp_gaussian_m350_k18_c25_s100_m6_g6,1248967.712077,160.031231,1666994.416368,745.672744,2716046.414487,385.683367
rasp_gaussian_m350_k18_c25_s100_m6_g7,1299432.148889,154.883691,1803221.501142,826.264102,2806229.693866,405.457162
rasp_gaussian_m350_k18_c25_s100_m6_g8,1264213.978259,155.297728,1726570.244774,813.733241,2604134.838745,387.281950
rasp_gaussian_m350_k18_c25_s100_m6_g9,1247013.791150,156.996693,1735601.807366,717.468728,2772979.792270,389.522085
rasp_gaussian_m400_k18_c25_s100_m7_g1,1394078.466970,207.058104,1912163.352727,961.003166,2976801.016568,617.809214
rasp_gaussian_m400_k18_c25_s100_m7_g10,1373266.032901,204.444213,1921262.844855,1085.656548,3115734.215251,624.087444
rasp_gaussian_m400_k18_c25_s100_m7_g2,1394570.517624,210.296296,1860400.871562,973.789416,3040718.516418,642.324903
rasp_gaussian_m400_k18_c25_s100_m7_g3,1572051.039172,207.864875,2114922.669144,987.069542,3167341.242590,619.510085
rasp_gaussian_m400_k18_c25_s100_m7_g4,1425929.901578,211.350303,1991682.627195,1072.097458,3155084.312539,607.386065
rasp_gaussian_m400_k18_c25_s100_m7_g5,1455322.098090,206.507557,2066210.275335,971.982785,3093589.903632,627.444776
rasp_gaussian_m400_k18_c25_s100_m7_g6,1273515.655827,211.766269,1747790.137357,970.944963,2691576.965966,612.933589
rasp_gaussian_m400_k18_c25_s100_m7_g7,1296412.705209,209.552784,1759472.929958,958.541435,2905940.235967,629.875995
rasp_gaussian_m400_k18_c25_s100_m7_g8,1470071.162172,227.594110,2044030.851808,960.635192,3145623.977350,624.783004
rasp_gaussian_m400_k18_c25_s100_m7_g9,1232964.985331,199.938840,1786297.443158,1099.130485,2670907.415550,627.352528
