instance,ALG1_maxobj,ALG1_minobj,ALG1_avgobj,ALG1_maxtime,ALG1_mintime,ALG1_avgtime,ALG2_maxobj,ALG2_minobj,ALG2_avgobj,ALG2_maxtime,ALG2_mintime,ALG2_avgtime,LADG_maxobj,LADG_minobj,LADG_avgobj,LADG_maxtime,LADG_mintime,LADG_avgtime
rasp_gaussian_m100_k18_c25_s100,674301.576304,589133.551493,627613.755358,9.298801,8.521813,8.799283,778552.121759,722855.243241,750298.877986,47.909921,39.778979,41.208107,994196.186423,858050.620283,928308.586669,9.795334,9.035785,9.517751
rasp_gaussian_m150_k18_c25_s100,819792.199429,666236.120995,754278.381654,22.986649,21.760036,22.580682,1051748.268868,858145.63559,957064.042446,106.720906,101.181866,104.174039,1421630.943091,1157777.980473,1273075.013047,29.564808,28.439552,29.012274
rasp_gaussian_m200_k18_c25_s100,1088139.1947,835774.597774,929186.666114,48.838784,41.752244,45.011834,1398880.051042,1108594.605684,1220048.030132,207.338523,197.284178,202.402002,1865548.621401,1459991.956941,1680649.541309,71.897129,64.182187,66.294289
rasp_gaussian_m250_k18_c25_s100,1173541.942129,807309.027749,1031647.429973,82.203778,69.979851,72.864294,1544143.699928,1098700.863472,1363939.041565,377.529754,327.759265,345.781203,2273268.069327,1561985.948622,1994992.362214,130.782281,124.598999,127.503066
rasp_gaussian_m300_k18_c25_s100,1282217.888412,1066890.033357,1166704.311304,123.609047,104.575244,109.667893,1701818.397686,1457754.454545,1588596.165657,572.548686,495.903541,516.890726,2537074.688804,2115754.256096,2358068.46177,233.938847,220.997451,226.628567
rasp_gaussian_m350_k18_c25_s100,1366217.732252,1124962.563434,1255509.175809,160.031231,144.541393,153.332762,1814916.578126,1590736.229228,1722383.228767,826.264102,717.468728,752.901952,2852520.16229,2392144.20338,2689466.39475,405.457162,371.343932,386.042272
rasp_gaussian_m400_k18_c25_s100,1572051.039172,1232964.985331,1388818.256487,227.59411,199.93884,209.637335,2114922.669144,1747790.137357,1920423.40031,1099.130485,958.541435,1004.085099,3167341.24259,2670907.41555,2996331.780183,642.324903,607.386065,623.35076
