instance,ALG1_maxobj,ALG1_minobj,ALG1_avgobj,ALG1_maxtime,ALG1_mintime,ALG1_avgtime,ALG2_maxobj,ALG2_minobj,ALG2_avgobj,ALG2_maxtime,ALG2_mintime,ALG2_avgtime,LADG_maxobj,LADG_minobj,LADG_avgobj,LADG_maxtime,LADG_mintime,LADG_avgtime
rasp_gaussian_m250_k18_c10,800677.333644,574477.77089,694148.666848,116.820161,78.141843,97.240739,1202724.478376,837734.501473,1030196.64675,522.765106,339.308274,415.210405,1998384.422725,1401356.739585,1692318.210872,120.058761,111.219747,115.286848
rasp_gaussian_m250_k18_c15,896534.585441,704140.213912,786729.853931,119.464738,72.552684,97.323279,1315663.178639,1033064.921699,1152404.036824,490.198465,342.418693,416.967844,2091628.35602,1592295.493473,1829597.134668,121.550805,115.596044,118.597372
rasp_gaussian_m250_k18_c20,990615.290324,786296.826813,911967.480597,116.096391,71.260836,90.978928,1420957.935408,1163815.325802,1278750.016796,556.369387,376.866194,432.777776,2027366.807672,1632609.505115,1885728.717986,125.586201,120.227007,122.229358
rasp_gaussian_m250_k18_c25,1159361.695773,913788.003139,1047846.147369,106.561404,73.09527,86.131362,1556676.085669,1204256.837045,1389978.10875,476.458675,338.037892,396.991841,2200252.291498,1815284.876618,2036539.595109,130.944553,121.262407,126.017933
rasp_gaussian_m250_k18_c30,1208618.512071,1040911.300852,1129072.164333,102.004562,78.475651,86.26055,1503957.512076,1339608.683609,1434803.632622,523.627767,355.09892,423.387175,2187779.585148,1926138.132239,2079394.002331,135.495678,126.01343,131.006156
rasp_gaussian_m250_k18_c35,1405643.889045,1160798.164437,1278500.437408,100.521157,73.722834,84.442939,1674561.061922,1453923.954032,1534173.927409,489.206008,356.110717,417.862,2420945.502401,2057068.880874,2227207.336528,136.705778,132.172302,134.149761
rasp_gaussian_m250_k18_c40,1485879.474661,1186942.601829,1358178.853643,101.745892,73.085587,84.569825,1739532.52193,1480151.091675,1592245.684317,525.905125,340.144032,437.520162,2423415.436919,2115963.485226,2264277.531966,140.75738,133.6314,137.63321
